,pt_BR,en,pt,es,fr
Jogar,Jogar,Play,Jogar,Jugar,Jouer
Opcoes,Opções,Options,Opções,Opciones,Paramètres
Sair,Sair,Quit Game,Sair,Salir,Quitter
Carregando,Carregando...,Loading...,A carregar...,Cargando...,Chargement...
Mundo,Mundo,World,Mundo,Mundo,Monde
Tela cheia,Tela Cheia,Full Screen,Ecrã Inteiro,Pantalla completa,Plein écran
Vidas mundo,"Diego
Vidas:","Diego
Lives:","Diego
Vidas:","Diego
Vidas:","Diego
Vies :"
Fim de jogo,Fim de jogo,Game over,Fim de jogo,Fin del Juego,Fin de partie
Reportar bugs,Encontrou algum bug? reporte no github,Found any bug? Report in GitHub,Encontrou algum erro? Reporte no GitHub,¿Has encontrado algún error? Infórmalo en GitHub,Avez-vous trouvé des bugs ? Signalez-les sur GitHub
Traducoes,Ajude o jogo com traduções na Crowdin,Help the game with translations on Crowdin,Ajuda o jogo com traduções na Crowdin,Ayuda al juego con traducciones en Crowdin,Contribuez à la traduction du jeu sur Crowdin
Voltar,Voltar,Back,Voltar,Volver,Retour
Idiomas,Idiomas,Languages,Idiomas,Lenguajes,Langues
Vidas,Vidas:,Lives:,Vidas:,Vidas:,Vies :
Pausado,Jogo pausado,Game paused,Jogo em Pausa,Juego en pausa,Jeu en pause
Continuar,Continuar,Resume,Retomar,Continuar,Continuer
Menu,Voltar ao menu,Go to menu,Voltar a ementa,Volver al menú,Retour au menu
Creditos,Créditos,Credits,Créditos,Créditos,Crédits
Moedas,Moedas:,Coins:,Moedas:,Monedas,Pièces :
Pontos,Pontos:,Score:,Pontos:,Puntos:,Buts :
Criador,Criador: Diego Fox,Creator: Diego Fox,Criador: Diego Fox,Creador: Diego Fox,Créateur : Diego Fox
Musicas,Músicas: Diego Fox,Musics: Diego Fox,Músicas: Diego Fox,Músicas: Diego Fox,Musique : Diego Fox
Obrigado por jogar,"Obrigado por jogar!!
Atualmente o jogo não está 100% finalizado
E está recebendo atualizações
constantes
fique por dentro dessas atualizações
seguindo a página da Game Jolt!","Thank you for playing!!
The game is currently not 100% finished
And it is receiving constant updates
Stay tuned for these updates
by following the Game Jolt page!","Obrigado por jogar!!
Atualmente o jogo não está 100% finalizado
E está recebe atualizações
constantes
fique por dentro destas atualizações
seguindo a página da Game Jolt!","¡Gracias por jugar!
El juego aún no está terminado al 100%.
Recibe actualizaciones constantes.
¡Mantente al tanto de las novedades siguiendo la página de Game Jolt!","Merci d'avoir joué !
Le jeu n'est pas encore terminé à 100 %.
Il fait l'objet de mises à jour régulières.
Restez informé des nouveautés en suivant la page Game Jolt !"